code_module,code_presentation,id_student,gender,highest_education,age_band,num_previous_attempts,disability_status,final_result,risk_label,lms_clicks_7d,lms_clicks_14d,lms_clicks_30d,lms_unique_resources_7d,days_since_last_lms_activity,lms_7d_vs_14d_percent_change,engagement_acceleration,assessment_submission_rate,weighted_assessment_score,late_submission_count,total_assessments_completed,assessment_score_trend
AAA,2013J,91265,M,HE Qualification,0-35,0,N,Pass,0,0.0,1.0,18.0,0.0,10.0,-1.0,-1.0,0.8333333333333334,69.0,5.0,5.0,-18.0
AAA,2013J,94961,M,Lower Than A Level,35-55,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.16666666666666666,7.4,0.0,1.0,0.0
AAA,2013J,98094,M,Lower Than A Level,35-55,0,N,Pass,0,2.0,6.0,32.0,1.0,5.0,-0.5,-2.0,0.8333333333333334,60.6,0.0,5.0,0.0
AAA,2013J,100893,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,49.0,0.0,19.0,0.0,0.0,0.8333333333333334,68.7,2.0,5.0,3.0
AAA,2013J,101781,M,Lower Than A Level,35-55,0,N,Pass,0,10.0,10.0,72.0,3.0,1.0,1.0,10.0,0.8333333333333334,71.6,0.0,5.0,-10.0
AAA,2013J,102806,M,A Level or Equivalent,0-35,0,N,Pass,0,2.0,3.0,91.0,1.0,2.0,1.0,1.0,0.8333333333333334,76.0,0.0,5.0,-20.0
AAA,2013J,102952,M,HE Qualification,0-35,0,N,Pass,0,0.0,0.0,4.0,0.0,23.0,0.0,0.0,0.8333333333333334,77.1,0.0,5.0,5.0
AAA,2013J,104476,M,Post Graduate Qualification,35-55,0,N,Pass,0,0.0,4.0,53.0,0.0,11.0,-1.0,-4.0,0.8333333333333334,78.9,2.0,5.0,-7.0
AAA,2013J,106247,M,HE Qualification,35-55,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.5,29.299999999999997,2.0,3.0,-20.0
AAA,2013J,106577,M,Lower Than A Level,0-35,0,N,Pass,0,0.0,0.0,32.0,0.0,16.0,0.0,0.0,0.8333333333333334,54.199999999999996,1.0,5.0,8.0
AAA,2013J,110175,M,HE Qualification,35-55,0,N,Pass,0,0.0,0.0,10.0,0.0,27.0,0.0,0.0,0.8333333333333334,63.699999999999996,1.0,5.0,3.0
AAA,2013J,111717,F,HE Qualification,35-55,0,N,Pass,0,0.0,0.0,44.0,0.0,20.0,0.0,0.0,0.5,48.9,0.0,3.0,3.0
AAA,2013J,113295,M,Lower Than A Level,35-55,0,N,Pass,0,0.0,5.0,78.0,0.0,8.0,-1.0,-5.0,0.8333333333333334,77.3,3.0,5.0,-3.0
AAA,2013J,114017,F,Post Graduate Qualification,35-55,0,N,Pass,0,0.0,2.0,19.0,0.0,12.0,-1.0,-2.0,0.8333333333333334,72.3,0.0,5.0,5.0
AAA,2013J,114999,M,HE Qualification,35-55,0,N,Pass,0,1.0,2.0,6.0,1.0,5.0,0.0,0.0,0.8333333333333334,70.8,2.0,5.0,-20.0
AAA,2013J,116541,M,HE Qualification,0-35,0,N,Pass,0,0.0,0.0,21.0,0.0,27.0,0.0,0.0,0.8333333333333334,59.8,4.0,5.0,-26.0
AAA,2013J,116692,M,A Level or Equivalent,35-55,0,N,Pass,0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.8333333333333334,74.2,0.0,5.0,0.0
AAA,2013J,118983,M,HE Qualification,0-35,0,N,Pass,0,3.0,3.0,26.0,1.0,1.0,1.0,3.0,0.8333333333333334,59.0,0.0,5.0,-28.0
AAA,2013J,123044,M,A Level or Equivalent,35-55,0,N,Pass,0,0.0,0.0,18.0,0.0,22.0,0.0,0.0,0.8333333333333334,70.7,1.0,5.0,-7.0
AAA,2013J,127582,F,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,11.0,0.0,29.0,0.0,0.0,0.8333333333333334,69.4,3.0,5.0,-2.0
AAA,2013J,129955,M,A Level or Equivalent,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.5,40.099999999999994,1.0,3.0,-9.0
AAA,2013J,132976,F,Lower Than A Level,35-55,0,N,Pass,0,0.0,0.0,13.0,0.0,27.0,0.0,0.0,0.8333333333333334,67.30000000000001,0.0,5.0,-1.0
AAA,2013J,134143,F,A Level or Equivalent,35-55,0,N,Distinction,0,2.0,3.0,16.0,1.0,1.0,1.0,1.0,0.8333333333333334,83.8,0.0,5.0,-6.0
AAA,2013J,135335,F,Lower Than A Level,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA,2013J,135400,F,Lower Than A Level,35-55,0,Y,Withdrawn,1,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.3333333333333333,17.4,0.0,2.0,-21.0
AAA,2013J,137873,M,A Level or Equivalent,35-55,0,N,Pass,0,0.0,0.0,93.0,0.0,19.0,0.0,0.0,0.8333333333333334,81.7,0.0,5.0,15.0
AAA,2013J,141355,F,A Level or Equivalent,0-35,0,N,Pass,0,0.0,2.0,80.0,0.0,13.0,-1.0,-2.0,0.8333333333333334,72.0,1.0,5.0,-6.0
AAA,2013J,141377,M,A Level or Equivalent,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.16666666666666666,4.5,1.0,1.0,0.0
AAA,2013J,142326,F,A Level or Equivalent,35-55,0,N,Pass,0,0.0,0.0,96.0,0.0,27.0,0.0,0.0,0.8333333333333334,75.3,1.0,5.0,17.0
AAA,2013J,144801,F,HE Qualification,35-55,0,N,Pass,0,3.0,143.0,401.0,3.0,2.0,-0.9785714285714285,-137.0,0.8333333333333334,70.6,2.0,5.0,18.0
AAA,2013J,145130,M,HE Qualification,0-35,0,N,Pass,0,0.0,2.0,18.0,0.0,8.0,-1.0,-2.0,0.8333333333333334,53.2,2.0,5.0,-12.0
AAA,2013J,146188,F,A Level or Equivalent,0-35,0,Y,Fail,1,0.0,0.0,64.0,0.0,14.0,0.0,0.0,0.8333333333333334,48.8,2.0,5.0,-12.0
AAA,2013J,147756,M,Lower Than A Level,0-35,0,N,Fail,1,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.6666666666666666,51.3,2.0,4.0,-6.0
AAA,2013J,147793,F,Lower Than A Level,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.16666666666666666,5.2,1.0,1.0,0.0
AAA,2013J,148993,F,A Level or Equivalent,35-55,0,Y,Withdrawn,1,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.5,36.4,3.0,3.0,10.0
AAA,2013J,151358,F,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.8333333333333334,49.6,0.0,5.0,-4.0
AAA,2013J,155550,M,A Level or Equivalent,35-55,0,N,Pass,0,0.0,0.0,241.0,0.0,26.0,0.0,0.0,0.8333333333333334,66.0,1.0,5.0,-10.0
AAA,2013J,155854,F,A Level or Equivalent,35-55,0,N,Pass,0,14.0,29.0,172.0,2.0,2.0,-0.06666666666666667,-1.0,0.8333333333333334,79.4,0.0,5.0,-4.0
AAA,2013J,155984,F,Lower Than A Level,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.3333333333333333,23.5,1.0,2.0,-10.0
AAA,2013J,157568,F,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,47.0,0.0,28.0,0.0,0.0,0.8333333333333334,68.6,3.0,5.0,-20.0
AAA,2013J,159954,M,A Level or Equivalent,35-55,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.3333333333333333,20.1,1.0,2.0,3.0
AAA,2013J,164259,M,A Level or Equivalent,0-35,0,N,Pass,0,6.0,6.0,15.0,2.0,6.0,1.0,6.0,0.8333333333333334,70.4,1.0,5.0,-14.0
AAA,2013J,167906,F,A Level or Equivalent,35-55,0,N,Pass,0,0.0,1.0,51.0,0.0,11.0,-1.0,-1.0,0.8333333333333334,70.9,2.0,5.0,15.0
AAA,2013J,168936,F,Lower Than A Level,35-55,0,N,Pass,0,0.0,9.0,45.0,0.0,12.0,-1.0,-9.0,0.8333333333333334,64.9,0.0,5.0,-15.0
AAA,2013J,172112,M,HE Qualification,35-55,0,N,Pass,0,1.0,1.0,222.0,1.0,6.0,1.0,1.0,0.8333333333333334,71.1,3.0,5.0,15.0
AAA,2013J,172797,F,A Level or Equivalent,35-55,0,N,Pass,0,4.0,7.0,88.0,1.0,1.0,0.3333333333333333,1.0,0.8333333333333334,61.4,2.0,5.0,0.0
AAA,2013J,174782,M,HE Qualification,55<=,0,N,Pass,0,8.0,25.0,186.0,1.0,1.0,-0.5294117647058824,-9.0,0.8333333333333334,80.1,0.0,5.0,-3.0
AAA,2013J,175392,M,HE Qualification,35-55,0,N,Pass,0,3.0,7.0,119.0,1.0,3.0,-0.25,-1.0,0.8333333333333334,81.7,0.0,5.0,-7.0
AAA,2013J,175932,M,HE Qualification,35-55,0,N,Pass,0,0.0,0.0,43.0,0.0,16.0,0.0,0.0,0.8333333333333334,78.8,2.0,5.0,6.0
AAA,2013J,175991,F,A Level or Equivalent,0-35,0,N,Fail,1,0.0,0.0,15.0,0.0,27.0,0.0,0.0,0.8333333333333334,36.0,2.0,5.0,-16.0
AAA,2013J,180753,M,A Level or Equivalent,0-35,0,N,Pass,0,1.0,1.0,100.0,1.0,6.0,1.0,1.0,0.8333333333333334,51.7,0.0,5.0,-17.0
AAA,2013J,181316,F,A Level or Equivalent,35-55,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.16666666666666666,7.6,1.0,1.0,0.0
AAA,2013J,183096,F,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,27.0,0.0,27.0,0.0,0.0,0.8333333333333334,54.0,1.0,5.0,0.0
AAA,2013J,183947,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,255.0,0.0,16.0,0.0,0.0,0.8333333333333334,46.6,2.0,5.0,-24.0
AAA,2013J,184271,M,HE Qualification,35-55,0,N,Pass,0,1.0,1.0,22.0,1.0,6.0,1.0,1.0,0.8333333333333334,58.7,0.0,5.0,-11.0
AAA,2013J,185439,M,HE Qualification,0-35,0,N,Fail,1,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.16666666666666666,7.4,1.0,1.0,0.0
AAA,2013J,186149,M,HE Qualification,35-55,0,N,Pass,0,11.0,25.0,110.0,1.0,2.0,-0.21428571428571427,-3.0,0.8333333333333334,75.6,4.0,5.0,-4.0
AAA,2013J,187100,M,A Level or Equivalent,35-55,0,N,Distinction,0,1.0,7.0,154.0,1.0,4.0,-0.8333333333333334,-5.0,0.8333333333333334,89.4,0.0,5.0,2.0
AAA,2013J,188278,M,A Level or Equivalent,35-55,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.16666666666666666,7.6,0.0,1.0,0.0
AAA,2013J,189879,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,28.0,0.0,21.0,0.0,0.0,0.8333333333333334,78.80000000000001,1.0,5.0,-6.0
AAA,2013J,192183,F,Lower Than A Level,0-35,0,N,Pass,0,0.0,0.0,88.0,0.0,27.0,0.0,0.0,0.8333333333333334,66.69999999999999,1.0,5.0,-17.0
AAA,2013J,195262,M,A Level or Equivalent,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.16666666666666666,10.0,1.0,1.0,0.0
AAA,2013J,200860,M,Lower Than A Level,35-55,0,N,Pass,0,0.0,0.0,27.0,0.0,17.0,0.0,0.0,0.8333333333333334,50.8,1.0,5.0,-36.0
AAA,2013J,202635,F,A Level or Equivalent,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.5,33.2,3.0,3.0,-6.0
AAA,2013J,205350,M,HE Qualification,35-55,0,N,Pass,0,4.0,4.0,37.0,2.0,1.0,1.0,4.0,0.8333333333333334,72.2,0.0,5.0,0.0
AAA,2013J,205719,M,A Level or Equivalent,0-35,0,Y,Fail,1,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.5,27.299999999999997,2.0,3.0,-27.0
AAA,2013J,227499,F,A Level or Equivalent,35-55,0,N,Distinction,0,0.0,0.0,62.0,0.0,26.0,0.0,0.0,0.8333333333333334,83.5,0.0,5.0,-1.0
AAA,2013J,227517,M,HE Qualification,0-35,0,N,Fail,1,0.0,12.0,15.0,0.0,7.0,-1.0,-12.0,0.8333333333333334,61.7,0.0,5.0,-9.0
AAA,2013J,228082,M,HE Qualification,0-35,0,N,Pass,0,0.0,0.0,12.0,0.0,26.0,0.0,0.0,0.8333333333333334,74.80000000000001,0.0,5.0,24.0
AAA,2013J,228222,M,Lower Than A Level,0-35,0,N,Pass,0,0.0,0.0,27.0,0.0,26.0,0.0,0.0,0.8333333333333334,60.7,3.0,5.0,-11.0
AAA,2013J,229179,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.8333333333333334,65.1,0.0,5.0,-9.0
AAA,2013J,229361,M,A Level or Equivalent,0-35,0,N,Pass,0,3.0,6.0,8.0,2.0,1.0,0.0,0.0,0.8333333333333334,77.5,0.0,5.0,-5.0
AAA,2013J,231554,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,28.0,0.0,20.0,0.0,0.0,0.6666666666666666,52.8,2.0,4.0,-14.0
AAA,2013J,235507,M,A Level or Equivalent,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.16666666666666666,6.5,0.0,1.0,0.0
AAA,2013J,236284,M,Post Graduate Qualification,0-35,0,N,Pass,0,0.0,0.0,8.0,0.0,27.0,0.0,0.0,0.8333333333333334,75.5,2.0,5.0,-25.0
AAA,2013J,238007,M,HE Qualification,55<=,0,N,Pass,0,0.0,0.0,24.0,0.0,26.0,0.0,0.0,0.8333333333333334,79.5,0.0,5.0,3.0
AAA,2013J,240712,M,HE Qualification,0-35,0,N,Pass,0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.8333333333333334,74.2,0.0,5.0,-16.0
AAA,2013J,240884,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,3.0,0.0,27.0,0.0,0.0,0.8333333333333334,56.4,0.0,5.0,-20.0
AAA,2013J,241649,M,HE Qualification,35-55,0,N,Pass,0,2.0,2.0,10.0,1.0,6.0,1.0,2.0,0.8333333333333334,78.8,0.0,5.0,0.0
AAA,2013J,241729,F,HE Qualification,35-55,0,N,Fail,1,0.0,4.0,44.0,0.0,9.0,-1.0,-4.0,0.8333333333333334,59.6,1.0,5.0,10.0
AAA,2013J,242793,M,HE Qualification,35-55,0,N,Pass,0,0.0,4.0,11.0,0.0,8.0,-1.0,-4.0,0.8333333333333334,79.2,0.0,5.0,18.0
AAA,2013J,246834,M,A Level or Equivalent,35-55,0,N,Pass,0,1.0,1.0,86.0,1.0,2.0,1.0,1.0,0.8333333333333334,54.8,0.0,5.0,-8.0
AAA,2013J,248270,M,Lower Than A Level,0-35,0,N,Pass,0,5.0,16.0,47.0,3.0,4.0,-0.5454545454545454,-6.0,0.8333333333333334,78.9,3.0,5.0,5.0
AAA,2013J,255548,M,Lower Than A Level,35-55,0,N,Pass,0,3.0,5.0,7.0,3.0,1.0,0.5,1.0,0.8333333333333334,68.4,4.0,5.0,-30.0
AAA,2013J,256815,M,HE Qualification,0-35,0,N,Pass,0,0.0,29.0,99.0,0.0,7.0,-1.0,-29.0,0.8333333333333334,77.7,3.0,5.0,9.0
AAA,2013J,258392,F,Lower Than A Level,0-35,0,N,Pass,0,0.0,0.0,46.0,0.0,29.0,0.0,0.0,0.8333333333333334,59.1,2.0,5.0,3.0
AAA,2013J,258894,F,Lower Than A Level,35-55,0,N,Pass,0,0.0,0.0,33.0,0.0,14.0,0.0,0.0,0.8333333333333334,64.4,2.0,5.0,-4.0
AAA,2013J,260355,F,A Level or Equivalent,35-55,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.5,17.5,3.0,3.0,5.0
AAA,2013J,262011,M,A Level or Equivalent,35-55,0,N,Pass,0,0.0,0.0,23.0,0.0,26.0,0.0,0.0,0.8333333333333334,72.1,1.0,5.0,11.0
AAA,2013J,262934,F,A Level or Equivalent,35-55,0,N,Pass,0,0.0,1.0,58.0,0.0,11.0,-1.0,-1.0,0.8333333333333334,76.0,0.0,5.0,-6.0
AAA,2013J,268073,M,A Level or Equivalent,35-55,0,N,Fail,1,1.0,1.0,134.0,1.0,1.0,1.0,1.0,0.8333333333333334,75.5,0.0,5.0,9.0
AAA,2013J,268733,M,A Level or Equivalent,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.3333333333333333,12.1,2.0,2.0,-16.0
AAA,2013J,271251,M,A Level or Equivalent,35-55,0,N,Pass,0,3.0,4.0,138.0,3.0,3.0,2.0,2.0,0.8333333333333334,76.9,0.0,5.0,5.0
AAA,2013J,277880,F,A Level or Equivalent,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.5,33.6,3.0,3.0,-2.0
AAA,2013J,279572,M,Lower Than A Level,0-35,0,N,Distinction,0,3.0,7.0,40.0,2.0,4.0,-0.25,-1.0,0.8333333333333334,79.6,0.0,5.0,4.0
AAA,2013J,281022,F,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,35.0,0.0,27.0,0.0,0.0,0.8333333333333334,73.8,2.0,5.0,4.0
AAA,2013J,281250,M,Lower Than A Level,35-55,0,N,Fail,1,0.0,0.0,8.0,0.0,26.0,0.0,0.0,0.8333333333333334,54.3,0.0,5.0,-11.0
AAA,2013J,281589,M,HE Qualification,0-35,0,N,Fail,1,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA,2013J,282821,M,A Level or Equivalent,35-55,0,N,Pass,0,0.0,0.0,29.0,0.0,27.0,0.0,0.0,0.8333333333333334,58.8,3.0,5.0,-18.0
AAA,2013J,286488,M,A Level or Equivalent,35-55,0,N,Pass,0,0.0,0.0,5.0,0.0,24.0,0.0,0.0,0.8333333333333334,73.5,3.0,5.0,25.0
AAA,2013J,287548,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.8333333333333334,67.9,1.0,5.0,1.0
AAA,2013J,290201,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,2.0,0.0,29.0,0.0,0.0,0.8333333333333334,69.80000000000001,1.0,5.0,-6.0
AAA,2013J,290757,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,0.8333333333333334,74.5,0.0,5.0,-5.0
AAA,2013J,291334,M,A Level or Equivalent,35-55,0,N,Distinction,0,4.0,11.0,102.0,1.0,1.0,-0.42857142857142855,-3.0,0.8333333333333334,82.9,1.0,5.0,-7.0
AAA,2013J,292923,F,A Level or Equivalent,35-55,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA,2013J,293699,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,50.0,0.0,26.0,0.0,0.0,0.6666666666666666,41.5,2.0,4.0,-14.0
AAA,2013J,294570,M,HE Qualification,55<=,0,N,Pass,0,1.0,1.0,33.0,1.0,5.0,1.0,1.0,0.8333333333333334,78.69999999999999,0.0,5.0,5.0
AAA,2013J,294594,M,A Level or Equivalent,0-35,0,N,Pass,0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.8333333333333334,51.0,0.0,5.0,-18.0
AAA,2013J,295741,M,A Level or Equivalent,35-55,0,N,Fail,1,0.0,1.0,12.0,0.0,13.0,-1.0,-1.0,0.8333333333333334,51.900000000000006,1.0,5.0,17.0
AAA,2013J,296332,M,Post Graduate Qualification,55<=,0,N,Distinction,0,2.0,2.0,10.0,1.0,2.0,1.0,2.0,0.8333333333333334,84.30000000000001,0.0,5.0,-25.0
AAA,2013J,298696,F,HE Qualification,0-35,0,N,Pass,0,0.0,0.0,26.0,0.0,16.0,0.0,0.0,0.8333333333333334,81.8,1.0,5.0,10.0
AAA,2013J,300398,M,A Level or Equivalent,35-55,0,N,Pass,0,11.0,11.0,73.0,3.0,5.0,1.0,11.0,0.8333333333333334,78.3,1.0,5.0,-5.0
AAA,2013J,302302,F,A Level or Equivalent,0-35,0,N,Fail,1,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.5,29.400000000000002,1.0,3.0,1.0
AAA,2013J,305152,M,A Level or Equivalent,0-35,0,N,Fail,1,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.16666666666666666,6.4,0.0,1.0,0.0
AAA,2013J,305386,M,A Level or Equivalent,0-35,0,Y,Pass,0,0.0,0.0,10.0,0.0,27.0,0.0,0.0,0.8333333333333334,78.1,0.0,5.0,1.0
AAA,2013J,305539,F,Lower Than A Level,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA,2013J,306107,M,A Level or Equivalent,35-55,0,N,Pass,0,0.0,0.0,13.0,0.0,26.0,0.0,0.0,0.8333333333333334,54.9,0.0,5.0,-33.0
AAA,2013J,306466,M,A Level or Equivalent,35-55,0,N,Pass,0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.8333333333333334,82.6,0.0,5.0,6.0
AAA,2013J,306897,F,A Level or Equivalent,0-35,0,N,Pass,0,0.0,3.0,63.0,0.0,8.0,-1.0,-3.0,0.8333333333333334,60.9,1.0,5.0,-17.0
AAA,2013J,307061,F,HE Qualification,0-35,0,N,Pass,0,0.0,4.0,47.0,0.0,7.0,-1.0,-4.0,0.8333333333333334,81.3,0.0,5.0,1.0
AAA,2013J,307866,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,69.0,0.0,17.0,0.0,0.0,0.6666666666666666,43.3,1.0,4.0,21.0
AAA,2013J,311917,M,A Level or Equivalent,55<=,0,N,Pass,0,12.0,12.0,83.0,2.0,2.0,1.0,12.0,0.8333333333333334,60.4,1.0,5.0,12.0
AAA,2013J,312537,M,Post Graduate Qualification,55<=,0,N,Distinction,0,4.0,13.0,302.0,1.0,1.0,-0.5555555555555556,-5.0,0.8333333333333334,87.8,0.0,5.0,0.0
AAA,2013J,312782,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.8333333333333334,58.5,0.0,5.0,-33.0
AAA,2013J,318933,F,HE Qualification,0-35,0,N,Pass,0,0.0,4.0,33.0,0.0,13.0,-1.0,-4.0,0.8333333333333334,66.6,0.0,5.0,0.0
AAA,2013J,319047,F,A Level or Equivalent,0-35,0,N,Pass,0,2.0,5.0,237.0,1.0,1.0,-0.3333333333333333,-1.0,0.8333333333333334,78.6,1.0,5.0,2.0
AAA,2013J,321942,M,HE Qualification,55<=,0,N,Pass,0,24.0,29.0,263.0,5.0,1.0,3.8,19.0,0.8333333333333334,80.2,0.0,5.0,-2.0
AAA,2013J,324002,M,HE Qualification,35-55,0,N,Pass,0,0.0,0.0,75.0,0.0,26.0,0.0,0.0,0.8333333333333334,80.2,0.0,5.0,-2.0
AAA,2013J,324084,F,A Level or Equivalent,35-55,0,N,Pass,0,2.0,2.0,46.0,1.0,6.0,1.0,2.0,0.8333333333333334,57.5,1.0,5.0,-1.0
